Datetime,Close,High,Low,Open,Volume,Normal_Price,Risk_Status,Cushion_Pct,View
2026-02-23 18:30:00,394.394989,396.359985,394.170013,396.059998,4394057,397.8410034,High Risk,0.011570,30 day
2026-02-23 19:30:00,395.531189,396.029999,394.040009,394.395111,4861633,396.2712402,High Risk,0.018503,30 day
2026-02-23 20:30:00,399.850006,400.000000,395.450012,395.529999,6059604,396.6472412,Moderate Risk,0.028648,30 day
2026-02-24 14:30:00,407.445007,407.540009,397.640015,399.549988,11029900,398.65224,Low Risk,0.042915,30 day
2026-02-24 15:30:00,403.329987,407.709991,402.809998,407.450012,6812426,400.1102356,Moderate Risk,0.028620,30 day
2026-02-24 16:30:00,404.040100,405.670013,402.260010,403.329987,4907449,402.0392578,Moderate Risk,0.025486,30 day
2026-02-24 17:30:00,405.329895,406.029999,403.700012,404.089996,3316814,403.998999,Moderate Risk,0.023770,30 day
2026-02-24 18:30:00,408.640015,409.549988,405.149994,405.339996,5302925,405.7570007,Moderate Risk,0.027658,30 day
2026-02-24 19:30:00,408.760010,410.410004,407.910004,408.640015,4666369,406.0200012,Moderate Risk,0.027294,30 day
2026-02-24 20:30:00,409.359985,410.820007,408.670013,408.799988,3668801,407.226001,Moderate Risk,0.025755,30 day
2026-02-25 14:30:00,414.829987,420.339996,412.149994,412.149994,11792494,409.3839783,Low Risk,0.033983,30 day
2026-02-25 15:30:00,413.960114,415.799988,413.359985,414.809998,5681106,411.110022,Moderate Risk,0.027482,30 day
2026-02-25 16:30:00,414.084991,416.920013,413.160004,413.950012,5585583,412.1990173,Moderate Risk,0.025077,30 day
2026-02-25 17:30:00,415.130005,415.309998,413.799988,414.095001,3208768,413.4730164,Moderate Risk,0.024497,30 day
2026-02-25 18:30:00,415.920013,416.549988,414.899994,415.149994,2995514,414.785022,Moderate Risk,0.023200,30 day
2026-02-25 19:30:00,415.707306,416.600006,415.450012,415.951691,3293688,414.9604858,Moderate Risk,0.022245,30 day
2026-02-25 20:30:00,417.390015,417.640015,414.850006,415.693909,4018059,415.6464661,Moderate Risk,0.024689,30 day
2026-02-26 14:30:00,407.817505,416.799988,406.470001,414.500000,11463131,414.3929688,High Risk,0.004217,30 day
2026-02-26 15:30:00,409.083313,410.299988,404.830109,407.809998,5522506,413.1836304,High Risk,0.010282,30 day
2026-02-26 16:30:00,405.209991,410.170013,404.279999,409.079987,5978869,411.041626,High Risk,0.005931,30 day
2026-02-26 17:30:00,405.209991,406.469910,403.660004,405.209991,4467298,408.9421631,High Risk,0.011096,30 day
