Datetime,Close,High,Low,Open,Volume,Normal_Price,Risk_Status,Cushion_Pct
2/24/2026 15:30,403.3299866,407.7099915,402.8099976,407.450012,6812426,400.110236,Moderate Risk,0.02862
2/24/2026 16:30,404.0401001,405.6700134,402.2600098,403.329987,4907449,402.039258,Moderate Risk,0.025486
2/24/2026 17:30,405.329895,406.0299988,403.7000122,404.089996,3316814,403.998999,Moderate Risk,0.02377
2/24/2026 18:30,408.6400147,409.5499878,405.1499939,405.339996,5302925,405.757001,Moderate Risk,0.027658
2/24/2026 19:30,408.7600098,410.4100037,407.9100037,408.640015,4666369,406.020001,Moderate Risk,0.027294
2/24/2026 20:30,409.3599854,410.8200073,408.6700134,408.799988,3668801,407.226001,Moderate Risk,0.025755
2/25/2026 14:30,414.8299866,420.3399963,412.1499939,412.149994,11792494,409.383978,Low Risk,0.033983
2/25/2026 15:30,413.9601135,415.7999878,413.3599854,414.809998,5681106,411.110022,Moderate Risk,0.027482
2/25/2026 16:30,414.0849915,416.9200134,413.1600037,413.950012,5585583,412.199017,Moderate Risk,0.025077
2/25/2026 17:30,415.1300049,415.3099976,413.7999878,414.095001,3208768,413.473016,Moderate Risk,0.024497
2/25/2026 18:30,415.9200134,416.5499878,414.8999939,415.149994,2995514,414.785022,Moderate Risk,0.0232
2/25/2026 19:30,415.7073059,416.6000061,415.4500122,415.951691,3293688,414.960486,Moderate Risk,0.022245
2/25/2026 20:30,417.3900147,417.6400147,414.8500061,415.693909,4018059,415.646466,Moderate Risk,0.024689
2/26/2026 14:30,407.8175049,416.7999878,406.4700012,414.5,11463131,414.392969,High Risk,0.004217
2/26/2026 15:30,409.083313,410.2999878,404.8301086,407.809998,5522506,413.18363,High Risk,0.010282
2/26/2026 16:30,405.2099915,410.1700134,404.2799988,409.079987,5978869,411.041626,High Risk,0.005931
2/26/2026 17:30,405.2099915,406.4699097,403.6600037,405.209991,4467298,408.942163,High Risk,0.011096
2/26/2026 18:30,408.1899109,409.3890076,405.0799866,405.220001,4046022,407.102142,Moderate Risk,0.023135
2/26/2026 19:30,407.7099915,409.0799866,407.1199951,408.179993,3426907,407.08064,Moderate Risk,0.021986
2/26/2026 20:30,408.480011,409.2000122,407.6900024,407.700012,2644632,406.959979,Moderate Risk,0.024219
2/27/2026 14:30,406.8540039,407.1099854,400.8999939,402.940002,8592703,407.288782,High Risk,0.019319
2/27/2026 15:30,402.3099976,406.9200134,401.8299866,406.859985,10497247,406.708783,High Risk,0.009372
2/27/2026 16:30,400.9099121,403.5400085,399.0299988,402.26001,532089,405.252783,High Risk,0.009473
2/27/2026 17:30,399.730011,401.6099854,398.5299988,400.920013,4264145,403.656787,High Risk,0.010482
2/27/2026 18:30,399.730011,400.4200134,398.1199951,399.700012,3641343,401.906787,High Risk,0.014882
2/27/2026 19:30,400.1799927,401.019989,398.75,399.734985,3782831,400.571985,High Risk,0.01941
2/27/2026 20:30,402.4200134,403.3900147,399.2799988,400.130005,4543627,400.593988,Moderate Risk,0.025059
3/2/2026 14:30,398.6541138,399.218689,388.25,390.320007,11632699,400.142828,High Risk,0.016612
3/2/2026 15:30,400.1700134,403.7090149,397.7399902,398.665009,6369385,400.230829,Moderate Risk,0.020253
3/2/2026 16:30,402.519989,404.5398865,399.7399902,400.209991,5307407,400.788824,Moderate Risk,0.024816
3/2/2026 17:30,401.75,403.1900024,400.9700012,402.470001,3707542,401.102826,Moderate Risk,0.022055
3/2/2026 18:30,402.6499939,402.8699951,400.1000061,401.786285,3484032,401.148822,Moderate Risk,0.024227
3/2/2026 19:30,399.5599976,402.7999878,398.9100037,402.660004,15081453,401.329999,High Risk,0.015908
3/2/2026 20:30,403.2349854,403.4899902,399.5599976,399.570007,5267667,401.942993,Moderate Risk,0.023688
3/3/2026 14:30,386.7200012,396.3399963,386.5599976,395.089996,17290057,398.782996,High Risk,-0.010459
3/3/2026 15:30,392.5400085,393.5599976,385.3999939,386.690002,12190306,396.940997,High Risk,0.009095
3/3/2026 16:30,392,393.5499878,389.8599854,392.529999,6657822,394.810999,High Risk,0.013143
3/3/2026 17:30,393.2900085,393.9200134,389.0799866,391.959991,5541323,393.557001,High Risk,0.019716
3/3/2026 18:30,391.6350098,394.769989,391,393.299988,5557143,391.237006,Moderate Risk,0.021446
3/3/2026 19:30,392.5499878,394.7000122,391.230011,391.670013,5268077,392.403003,Moderate Risk,0.02079
3/3/2026 20:30,392.3500061,393.5,391.6700134,392.5401,5308335,392.365002,Moderate Risk,0.020369
3/4/2026 14:30,407.6700134,407.8523865,394.5899963,397.845001,20741277,395.499005,Low Risk,0.05181
3/4/2026 15:30,404.1950073,407.7900085,401.4299927,407.670013,10733226,397.680005,Low Risk,0.037125
3/4/2026 16:30,404.8599854,407.1499939,403.8800049,404.179993,7361876,400.325,Low Risk,0.031968
3/4/2026 17:30,403.7799988,405.0400085,403.2799988,404.86499,6209136,402.571002,Moderate Risk,0.023473
3/4/2026 18:30,406.3250122,406.8399963,403.7200012,403.779999,5290009,405.366003,Moderate Risk,0.022822
3/4/2026 19:30,406.9500122,407.3800049,404.8500061,406.329987,5657840,405.222003,Moderate Risk,0.02476
3/4/2026 20:30,406.0700073,408.3299866,404.75,406.950012,6921220,405.597003,Moderate Risk,0.021598
3/5/2026 14:30,403.6400147,407.3800049,400.2999878,401.570007,12709534,405.353009,High Risk,0.016096
3/5/2026 15:30,405.4153137,407.0599976,401.769989,403.670013,8003266,405.680072,High Risk,0.019742
3/5/2026 16:30,403.1500855,408.6199036,403.0499878,405.459991,6229475,405.045087,High Risk,0.015634
